,aviso,classification
14843,"Encargado de Servicio Técnico y Calidad Responsable del área de servicio técnico y calidad reportando directamente al jefe de operaciones.
Procedimientos de control de calidad.
Procedimientos de Servicio técnico, garantía y reparaciones.
Manejo de inventarios.
Mejora continua. Jornada Completa Titulado
Office Avanzado
Ingeniero Ejecución Industrial o equivalente. Colina",Not WFH
14844,"Ingeniero de Procesos y operaciones (Ingeniero Comercial) Para importante entidad financiera, requiere contratar a profesionales Ingenieros comerciales o ingeniero en ejecución. con al menos 1 año y medio de experiencia en:

Función:
-Participar en todas las actividades señaladas en los procesos y metodologías 
-Apoyar en procesos de análisis


Interesados enviar CV actualizado a la dirección de correo electrónico indicado más abajo, indicar en asunto de Email cargo al cual postula (Ingeniero de Procesos) Jornada Completa 1 año y medio a 2 de experiencia Santiago",Not WFH
14845,"Práctica Profesional. Municipalidad de Peñalolén tiene la oportunidad de brindar PRÁCTICA PROFESIONAL de nivel medio, técnico profesional o superior universitaria.<br /><br />Buscamos una persona dispuesta a fortalecer sus conocimientos y experimentar en el mundo laboral, para desempeñarse en la dirección o unidad acorde a su formación y/o necesidades del municipio.<br /><br />La modalidad es presencial, puede ser de lunes a jueves de 08:30 a 17:30 hrs. y los viernes de 08:30 a 16:30 hrs., o un horario flexible dependiendo de la disponibilidad o carga académica. También se ofrece un bono de $60.000 para efecto de gastos de traslado. Jornada Completa - Práctica formal de nivel medio, técnico profesional o superior. Municipalidad De Peñalolén - Avenida Grecia, Penalolen, Peñalolén, Chile",Not WFH
14846,"Servicio Técnico / Equipos medicos - Providencia Empresa del rubro Médicos  necesita para su Centro de Servicios Compartidos un ANALISTA DE SERVICIO TÉCNICO de equipos Médicos.<br /><br />Entre sus funciones:<br />- Recibir solicitudes de clientes que requieran apoyo técnico de equipos y/o instrumentos.<br />- Brindar al cliente solución virtual sobre casos correctivos.<br />- Coordinar y asignar los casos que no se lograron resolver a los ingenieros de terreno para visitas presenciales. <br />- Hacer seguimiento a clientes con el fin de mantenerlos informados sobre la solución de sus casos.<br />- Coordinar los proceso de mantenimientos preventivos, correctivos e instalación y retiro de los instrumentos con el equipo de servicio técnico local.<br />- Mantenerse en constante estudio de manuales y documentación, y participar en capacitaciones relacionadas con los equipos médicos  y servicios entregados por la compañía.<br /><br />Requisitos:<br /><br /><br />- Técnico o Universitario titulado en carreras de Electrónica, Electricidad, Mecánica, Ing. en redes.<br />- Experiencia de al menos 1 año y medio en áreas de asistencia técnica a usuarios en el manejo de equipos electrónicos, equipos médicos, de laboratorio. Deseable trabajo en terreno como ingeniero de campo.<br />- Idioma Inglés Básico- Intermedio (lectura de email). <br />- Office intermedio.<br /><br />Dentro de los principales beneficios se encuentran:<br />-Ticket de almuerzo<br />-Excelente ubicación (Providencia, a pasos de metro los leones) Jornada Completa Conocimiento de excel Providencia",Not WFH
14847,"SENIOR APPLICATIONS ENGINEER The Regional Lab Managers’ position has overall responsibility within their specified region for the effective operation of the equipment labs used by the technical service personnel within GSS. The Regional Lab Manager (RLM) should work with the local Lab Managers/Contacts and/or the Lab Configuration Owner to achieve this goal.
Provides support for Remote Access (SAFEPORT, SSG, ART & Maestro), Virtual Lab Environment, and ongoing Lab Moves & Consolidations. Oversees Maintenance Replacements, Inventory Management, Software Procurement, Network Management, Virus protection, Maintenance Outages and ensures EH&S and ISO compliance in the lab environment for their region. Also,  a key part of the role is to provide Configuration & Pricing Support (ASD & SAP), Act as a gatekeeper ensuring the requestor actually requires the new equipment, Validate with the local Lab Contact / Lab Configuration Owner there is lab space, racks & power, etc…
May interact with senior management regarding discreet and confidential communications and problem-solving techniques; Work with limited guidance on projects within defined criteria and is to provide solutions to a diverse range of moderately complex problems. Typically requires 3 - 6 years technical experience and a Bachelor’s degree or equivalent experience. Avaya Certification is desired. 
Familiarity with business and financial management, contracting principles, strategic planning and experience with the latest Avaya products and services is highly preferred, CM, MM, Audix, Cajun, etc. Virtualization, Extreme & Cisco Networks experience a plus. Knowledge of 3rd party products is useful.
Must be PC literate on the latest Microsoft applications & Linux.
 Jornada Completa Languages required: English, Portuguese ( helpful, not required) Education level:  Bachelor’s degree 
Desired Experience in discipline: Typically requires 3 - 6 years technical experience
Required: Project Management, Logical Reasoning, Decision Making, Problem Solving, Teamwork, Accountability, Technical Expertise, Negotiation, Organizational knowledge, Process/Systems, Services/Products, Customer Service Process, Microsoft Office Suite.
Trainable:  Systems or Application knowledge: SAP, Avaya Solution Designer, SAFEPORT, Siebel, Maestro
 Lavalle 1877",WFH
14848,"Asistente de  Ventas - Apoyo de Navidad - Puente Tricot requiere a los mejores Asistentes de Venta para sus tiendas ubicadas en Puente como apoyo de temporada de navidad.<br /><br />Sus funciones son:<br />- Mantener orden de la tienda<br />- Asesorar a clientes en la tienda<br /><br />Turnos: 2x2, 30 horas semanales<br /><br />Requisitos mínimos: <br />- Mayor a 18 años. Jornada Completa Ganas de trabajar ",Not WFH
14850,"asistente de ventas 45horas !!!!ATENCION JOVENES!!!!!<br /><br />Estamos en búsqueda de los mejores Vendedores y Vendedoras Full Time 45 horas, para trabajar para importante marca de Vestuario Femenino.<br /><br /> <br /><br />Puntos disponibles:<br /><br />·         Independencia<br />.         Kennedy (Las Condes)<br /><br /> <br /><br /> Principales Funciones:<br /><br /> <br /><br />·         Apoyar la fuerza de venta en la tienda<br /><br /> <br /><br />·         Atención a clientes<br /><br /> <br /><br />·         Apoyo en caja, bodega, orden de local<br /><br /> <br /><br /> Requisitos:<br /><br /> <br /><br />• Experiencia laboral mínimo de 6 meses en retail<br /><br /> <br /><br /> Horarios:<br /><br /> <br /><br />• 45 horas de trabajo semanales, modalidad 5x2, Horario Mall (5 días trabajados a la semana, con dos días libres por semana).<br /><br /> <br /><br /> Se ofrece:<br /><br /> <br /><br />• Renta líquida mensual $380.000<br /><br /> <br /><br />• Estabilidad Laboral<br /><br /> <br /><br />• Posibilidades de desarrollo profesional<br /><br />Interesados/as presentarse a entrevista con ANGELINA ALIAGA el día Martes 4 de febrero a las 14:00 horas en la dirección arzobispo Larraín gandarillas 125, providencia. (Como referencia, a tres cuadras caminando hacia la cordillera, desde el Metro parque bustamante). Traer curriculum en digital. Por Turnos experiencia en el cargo xinerlink",Not WFH
14851,"Supervisor de Ventas Reconocida de empresa del rubro del turismo busca Supervisor de Venta para su canales de venta presencial y remoto. Responsable de coordinar el canal de venta, velar por el cumplimiento de metas, supervisión de equipo a cargo. 
Empresa de alto nivel, ubicación sector oriente de la capital, a pasos del metro.  Jornada Completa - Profesional egresado de carrera de turismo
- Experiencia previa en empresas turísticas, de preferencia agencia de viajes y línea aérea
- Manejo de sistemas de reserva
- Conocimiento de productos tanto aéreos como terrestres
- Capacidad de planificación, supervisión, manejo de equipos de trabajo
- Experiencia previa teniendo equipos de trabajo a cargo Las Condes",Not WFH
14853,"Vendedores Par t time 20 hrs. Las Condes, Cerrillos Estamos en búsqueda de los mejores Vendedores Part Time 20 horas, para trabajar para una importante marca de Vestuario Juvenil.(Solo comunas de Fase 3)<br /><br />Puntos disponibles:<br />- Open Plaza Kennedy. (Las Condes)<br />- Plaza Oeste. (Cerrillos)<br /> <br />Principales Funciones:<br />-      Apoyar la fuerza de venta en la tienda<br />-      Atención a clientes<br />-      Apoyo en caja, bodega, orden de local<br /><br />Requisitos:<br />• Experiencia laboral mínimo de 6 meses en retail <br /><br /><br />Horarios:<br />• 20 horas de trabajos semanales, distribuidos los días viernes, sábados y domingos de cada semana,  en franja horaria de 10:00 AM a 10:00 PM<br /><br />Se ofrece:<br />• Renta líquida mensual $200.000 (Part Time 20 horas)<br />• Estabilidad Laboral<br />• Posibilidades de desarrollo profesional<br /><br />Reales interesados presentarse con DANIELA ORELLANA hoy Martes 27 de Octubre a las 15:30hrs. en Arzobispo Larraín Gandarillas 125, Providencia, cercano a metro Parque Bustamante. Part Time Experiencia laboral mínimo de 6 meses en retail ",Not WFH
14854,"Asistente de remuneraciones Empresa busca Asistente de remuneraciones para aprobación de licencias medicas. <br><br>Jornada laboral mixto (presencial y teletrabajo) lunes a viernes de 09:00 a 19:00 hrs.  <br><br>Renta: $380.000 líquidos luego $400.000 líquidos <br><br> Mixta (Teletrabajo + Presencial) Conocimiento en remuneraciones Santiago Metropolitan Region, Chile",WFH
14855,"Práctica Gestión de personas y Calidad de Vida. Presencial+Teletrabajo. Las Condes. ¡En Siena nos encontramos en busqueda de un practicante para el área de Gestión de Personas y Calidad de Vida!<br><br>Tus principales desafíos serán:<br>- - Apoyo al proceso de contratación y revisión de documentos personales.<br>- Apoyo en seguimiento de firmas<br>- Apoyo proceso de onboarding.<br>- Coordinación de círculos de escucha en terreno.<br>- Apoyo en coordinación de charlas y representaciones en obra<br>- Apoyo en incorporación al seguro complementario.<br>- Apoyo en procesos de asistencia.<br>- Emisión de informes de casos sociales y círculos de escucha.<br>- Visitas terreno.<br><br>NOTA: TODO DETALLE DE LA PRACTICA ES COORDINADO DIRECTAMENTE CON SOLICITANTE. Mixta (Teletrabajo + Presencial) Estudios: Ingeniería Comercial, Trabajo Social Los Militares 6191, Las Condes, Chile",WFH
14856,"Ejecutivo Captador de Socios, Antofagasta Providencia S.A. se encuentra en búsqueda de Ejecutivos de Captación encargados de la atracción de nuevos socios y fondos para la Fundación Hogar de Cristo en la ciudad de Antofagasta.<br /><br />*Dentro de sus principales funciones se encuentra:<br />- Diseñar y promover prácticas de vinculación con potenciales socios<br />- Gestionar contacto, programación de reuniones y cierre de acuerdos con socios<br />- Desarrollar trabajo presencial/terreno visitando potenciales socios<br />- Realiza seguimiento para asegurar el cumplimiento de metas de su responsabilidad<br /><br />*Requisitos:<br />- Enseñanza Media Completa (Excluyente)<br />- 1 año de experiencia en ventas intangibles/presenciales (No excluyente) <br />- Disponibilidad para trabajar en terreno<br />- Manejo nivel usuario de correo electrónico y herramientas office (Word, excel, Outlook)<br /><br />**Requerimos personas con orientación al cliente, capacidad de negociación, autodisciplina, comunicación, habilidades sociales y orientación a los resultados**<br /><br />Se ofrece:<br />- Material de apoyo a la captación<br />- Grato ambiente laboral<br />- Sueldo base + comisión<br />- Contrato a Plazo fijo, luego indefinido.<br />- Jornada de 45 horas semanales<br /><br />Se ofrece apoyar a la fundación de beneficencia de mayor cobertura y de reconocida labor en reducir la exclusión social en Chile e integrarse a un equipo profesional con sólidos valores y excelente clima laboral. Jornada Completa - Enseñanza Media Completa (Excluyente)<br />- 1 año de experiencia en ventas intangibles/presenciales (No excluyente) <br />- Disponibilidad para trabajar en terreno<br />- Manejo nivel usuario de correo electrónico y herramientas office (Word, excel, Outlook) Antofagasta",Not WFH
14858,"Ley de inclusión laboral Atención al cliente Fomento Ley de Inclusión - Personas con Discapacidad.<br />Grupo Expro multinacional de Outsourcing de Procesos, perteneciente al consorcio Outsourcing Inc., con casa matriz en Japón, cotizada en la Bolsa de Tokyo y con presencia en Asia pacífico, Oceanía, Europa y América. Busca  el cargo de “Ejecutivo de asistencia” para Santiago, Región Metropolitana<br /><br />Buscamos:<br />a) Formación: Enseñanza media o estudiante de carrera técnica en diversas áreas, preferiblemente en Administración de Empresas, Administración Hotelera, Pedagogía, Auxiliares o Técnicos en Enfermería, o carreras afines al relacionamiento con personas y/o servicio al cliente.<br />b) Experiencia laboral: Mínimo 1 año de experiencia en cargos relacionados con relacionamiento de personas, servicio atención al cliente, coordinación de acciones y/o servicios y atención telefónica.<br />Principales responsabilidades:<br />a) Recibir, Atender, Tramitar, Revisar, Realizar seguimiento y cierre de manera cordial las solicitudes de servicios solicitados por y/o para los clientes.<br />b) Gestionar para el servicio solicitado el mejor recurso de solución necesario<br />c) Gestionar los servicios solicitados en los sistemas corporativos y los sistemas de gestión definidos para la operación, registrando todas las actividades e interacciones que se presenten en el transcurso de la atención del servicio.<br /><br />Se ofrece:<br />Capacitación de dos semanas (pagada, proporcional a la remuneración definida mensual)<br />Atractiva renta mercado<br />Lugar de trabajo: Semi Presencial – Las Condes y teletrabajo<br /><br />Disponibilidad para trabajar turnos rotativos <br />Los horarios REFERENCIALES de turnos son de 45 horas semanales, los ingresos pueden ser diferidos desde las 06:00am, 08:00am, 14:00, 16:00, 22:00 y 00:00 hrs. con jornadas de 8 horas por turno. <br />En los horarios donde no existe movilización de transporte público como metro y tienen jornada en oficina (no teletrabajo), se les contacta un móvil el cual es costeado por la empresa. En el horario donde existe flujo de metro, la movilización es por parte del trabajador. <br />Los turnos se programan de manera de poder avisar con al menos 1 semana de anticipación al colaborador. Los turnos de noche son los menos y se estiman las horas idóneas para que tengan el descanso necesario entre una jornada de turnos y cuando cambien al siguiente. Jornada Completa Disponibilidad para trabajar en sistema de turnos Semipresencial",WFH
14859,"(902) Tecnólogo(a) Tecnólogo(a): Empresa de alimentos del mar, necesita Tecnólogo(a) que sepa de pescados y mariscos, Titulo técnico que tenga claro conceptos de HACCP, BPM, PAC o POS, CONTROL DE CALIDAD Y OFFICE. Funciones revisión de productos, parámetros físicos-químicos, despacho, control de temperatura, etc. Proactivo, comprometido, trabajo en equipo. Jornada de 45 horas semanales turno noche,  la planta está ubicada en av. lo espejo 2635 comuna de lo espejo, Santiago. Postular solo personal sin trabajo y que estén interesados en trabajar, deben enviar curriculum vitae con pretensiones de renta liquida requisito excluyente a la dirección antes indicada o al email: seleccionalmx@yahoo.com, indicar en el asunto: Tecnólogo(a) Jornada Completa Certificado de antecedentes
Derivación omil cerrillos
Cedula de identidad
Certificado AFP fonasa o isapre 
Curriculum Vitae LO ESPEJO",Not WFH
14860,"Asistente Contable Reemplazo Pre Post Natal Nuestro cliente, destacada empresa de ventas online de productos exclusivos y de calidad Premium para el cuidado de la piel, requiere integrar a su equipo de trabajo a un Asistente Contable por 10 meses aprox. para realizar reemplazo pre-post natal, iniciando en junio de 2020. <br /><br />Será responsable de: <br />Asistir a otros contadores en el departamento de contabilidad con diversas tareas, incluyendo conciliar cuentas y recopilar documentación de respaldo. Ayudar en la preparación de los estados financieros. Realizar otras tareas según sea necesario. <br /><br />Requisitos: <br />- 2 a 5 años de experiencia en áreas contables, idealmente en empresas con gran volumen de transacciones mensuales (15.000 app. Mensual). <br />- Estudios en Auditoría o Técnico Superior en Contabilidad de CFT o Instituto Profesional (Titulado o al menos en 3er año de carrera). <br />- Conocimientos en Análisis de cuentas, nociones de tributación, boletas de honorarios para terceros, tramites en pag. SII., Conciliaciones bancarias, Estados de resultados y balances a nivel básico. <br />- Experiencia con algún ERP o DSO. <br />- SAP R3 (Deseable, no excluyente)<br />- Excel intermedio. <br />- Inglés escrito y lectura. <br />- Persona organizada, con capacidad de análisis, trabajo en equipo y fuertes habilidades de comunicación.  <br />- Disponibilidad para trabajar por 10 meses aprox. por Reemplazo Pre-Post Natal.<br /><br />Lugar de trabajo: Primero remoto, luego en oficinas en Las Condes, Metro Manquehue. <br />Horario: Lunes a viernes de 08:00 a 17:00 horas (1 hora de colación). <br /><br />Principales tareas: <br />1. Conciliar cuentas contables asignadas.<br />2. Revisar ventas entre compañías y el costo de los bienes vendidos para todos los mercados asignados.<br />3. Verificar comisiones por mercados.<br />4. Confirmar que los saldos finales sean correctos.<br />5. Recopilar documentación de respaldo para cada conciliación. <br />6. Crear y recopilar documentación de respaldo para cada entrada de diario.<br />7. Verificar el saldo de débito / crédito antes de ingresar las entradas en el Sistema.<br />8. Obtener una comprensión de las cuentas del Libro mayor específicas de la compañía. <br />9. Recuperar la actividad mensual de la cuenta para cuentas bancarias específicas.<br />10. Revisar las transacciones diarias y registrar cada monto de débito / crédito.<br />11. Comparar los cheques emitidos y recuperar una nueva lista de cheques pendientes, si corresponde.<br />12. Confirmar el saldo bancario final y el saldo contable después de que se hayan realizado las entradas.<br />13. Crear registros maestros para todos los proveedores nuevos.<br />14. Realizar las actualizaciones necesarias para dominar los registros de proveedores existentes. Teletrabajo - 2 a 5 años de experiencia en áreas contables, idealmente en empresas con gran volumen de transacciones mensuales (15.000 app. Mensual). <br />- Estudios en Auditoría o Técnico Superior en Contabilidad de CFT o Instituto Profesional (Titulado o al menos en 3er año de carrera). <br />- Conocimientos en Análisis de cuentas, nociones de tributación, boletas de honorarios para terceros, tramites en pag. SII., Conciliaciones bancarias, Estados de resultados y balances a nivel básico. <br />- Experiencia con algún ERP o DSO. <br />- SAP R3 (Deseable, no excluyente)<br />- Excel intermedio. <br />- Inglés escrito y lectura (deseable) Las Condes/Remoto",WFH
14861,"Promotor/Vendedor Empresa Open Red está en busca de jóvenes pro-activos, entusiastas y con ganas de trabajar, que quieran incrementar sus ingresos a corto, mediano y largo plazo en área de promociones y ventas. Solo 20 cupos. (SOLAMENTE REGIÒN METROPOLITANA)

Estos deben ser estudiantes de educación superior o pre-universitario mayores de 18 años ya matriculados.

La empresa garantiza:

- Buen ambiente laboral y juvenil.
- Horario flexible.
- Ingresos acorde al mercado, que puede llegar hasta los $252.000.
- Comisiones al 40% y 50% por ventas + bonos por buen rendimiento.
- Capacitaciones gratuitas y constantes. 
- Desarrollo laboral y personal.

Para solicitar entrevista de pre-selección, mandar curriculum al siguiente mail: selección.openred@gmail.com
(pon en el asunto tu situación académica actual)
 Part Time Proactivo
Entusiasta
Mayor de edad Santiago",Not WFH
14862,"Ingeniero/Técnico de Instalación y Mantenimiento Buscamos incorporar un Ingeniero electromecánico, mecánico, electricidad, electrónica, de mantención industrial o similar, con foco en fluidos (bombas de aguas) y electricidad, para un trabajo basado en proyectos en terreno en Chile o Latinoamérica, mixto con teletrabajo y con horario flexible de acuerdo a los proyectos.<br><br>Ofrecemos trabajar en una empresa de impacto ambiental y social en proceso de crecimiento, dentro de la industria del agua, para crear accesos de agua donde más se necesita.<br><br>Las funciones principales son:<br>-Montaje de tableros eléctricos, bombas de agua.<br>-Instalación y ensamblaje en terreno de plantas de tratamiento, desalinizadoras, sistemas fotovoltaicos, y otros, con eficiencia y eficacia.<br>-Mantención de medidas preventivas y correctivas a las plantas de tratamiento.<br>-Definir funcionamientos óptimos de operación de sistemas de Remote Waters.<br>-Apoyar y reportar al jefe de operaciones.<br>-Definir, diseñar manuales de mantenimiento y operación de sistemas.<br>-Asegurar la continuidad operacional de los sistemas instalados de Remote Waters.<br>-Innovar para definir los mejores equipos de integración con el objetivo de entregar agua de manera sostenible.<br>-Cubicación de materiales, cotizar equipos definidos por diseño y asegurar los suministros necesarios para instalación.<br> <br> Mixta (Teletrabajo + Presencial) Requisitos Mínimos (no postule si no los tiene):<br />-Egresado de técnico electromecánico, mecánico, electricidad, electrónica, de mantención industrial o similar.<br />-Conocimientos de instalación de bombas de agua superficiales y sumergibles.<br />-Conocimientos de tableros eléctricos con protecciones para bombas.<br />-Manejo avanzado de herramientas office (excel, word, powerpoint).<br />-Nivel de inglés para leer manuales de bombas de agua y otros.<br />-Licencia vigente clase B.<br />-Residencia en la región metropolitana.<br /><br />Requisitos Deseables:<br />-Conocimientos de instalación de paneles fotovoltaicos.<br />-Conocimientos de automatización y programación de PLC.<br />-Experiencia en compras.<br /> Monjitas 565, Santiago, Chile",WFH
14863,"Curso Gratuito Para Motorista Part Time ¿Te gustaria ser repartidor?, ¿No cuentas con licencia clase C y tampoco posees el dinero para para pagar el curso?
Telepizza te invita a participar de nuestro curso GRATUITO de repartidores en entrenamiento. 
Serás parte del curso gratuito para ser repartidor, el cual se realiza en nuestra escuela de motos ubicada en el Parque Brasil, y luego escoges la tienda que más te acomode para ser parte del mejor Staff de Repartidores.

Para participar sólo necesitas:
- Ser mayor de 18 años
- Contar con el dinero para costear tu licencia ya que es un documento personal.
- Tener disponibilidad para asistir al 100% de las clases. 
- Tener buena disponibilidad para trabajar.

Una vez que obtengas tu licencia clase C podrás ser repartidor en la tienda de la Región Metropolitana que tu eligas! segun tu disponibilidad de horario!

Sólo debes postular y serás parte de nuestro curso GRATUITO de Repartidores en Entrenamientos. 

¡Contesta las preguntas indicadas y nos pondremos en contacto contigo!

Beneficios:
Grato ambiente Laboral
*Uniforme
*Afiliación a caja de compensación Los Andes
*Pago por hora trabajada
*Flexibilidad de horarios
*Beneficios con distintas empresas
*Posibilidad de crecimiento laboral
*Pago por cada reparto 
*Motos y bencina las proporciona Telepizza

¡NO TE PIERDAS ESTA OPORTUNIDAD!
TE ESPERAMOS!! Part Time Buscamos personas dinámicas y responsables. santiago",Not WFH
14864,"Ingeniero de Proyectos (PMO Junior)- área Energía Santiago Nuestro cliente, reconocida empresa de energía ubicada en Santiago, está en búsqueda para su Gerencia de Operaciones, a un Ingeniero Industrial para liderar y ejecutar los hitos de un proyecto velando el cumplimiento de la Gantt.<br><br>Principales funciones del cargo:<br>-Analizar, revisar y proponer las actividades del proyecto se cumplan en la rutina establecida en la carta Gantt.<br>-Elaborar informes y reportes con indicadores de gestión en relación del proyecto<br>-Planificar y controlar un presupuesto asociado al proyecto <br><br><br>Beneficios:<br>Alimentación<br>Seguro de Salud Complementario<br>Trabajo modalidad mixta<br>Bono <br>Horario flexible<br> Mixta (Teletrabajo + Presencial) Título profesional de al menos 10 semestres (Ingeniero Civil Industrial, Ingeniero Industrial) requisito excluyente.<br />Experiencia laboral de al menos 3 años en procesos productivos y supervisión de personas.<br />Conocimientos en Excel, Autocad y SAP<br />Disponibilidad para trabajar en modalidad mixta<br />Deseable conocimiento de metodologías agiles Metro Manquehue - Avenida Manquehue Norte, Vitacura, Chile",WFH
14865,"Técnico Mecánico - Chicureo - Salazar Israel ¡Contigo a donde quieras llegar!<br /><br />Salazar Israel, empresa perteneciente al Grupo Americar donde las personas y empresas pueden acceder al vehículo y a los servicios que necesitan, satisfaciendo sus necesidades, de forma sencilla y transparente.<br /><br />Somos un grupo aguerrido, ponemos corazón y alma en lo que hacemos, abrazando los retos con creatividad e innovación desafiando el status quo, adaptándonos y evolucionando. Estamos orientados en crear equipos con un alto sentido de identidad y pertenencia común, comprometidos con la calidad. Te invitamos a sumarte en nuestro equipo como &#34;Técnico Mecánico&#34;.<br /><br />¿Qué buscamos?<br />Personas con una actitud positiva hacia el aprendizaje, que les permita instaurar el estilo de trabajo de nuestro grupo, orientado a la búsqueda de la excelencia a través de la mejora continua.<br /><br /><br />Principales Tareas:<br />• Realizar mantenciones de los vehículos, respetando y cumpliendo los protocolos de la marca.<br />• Evaluar los problemas y/o fallas referidas por los clientes a servicio técnico de la marca.<br />• Realizar diagnóstico para evaluar nivel de daños del vehículo (motor, cajas de cambio, tren trasero o delantero, electricidad, amortiguación, entre otros), emitiendo un informe de reparación, definiendo piezas y partes a reponer o reparar, y estimar horas de trabajo.<br />• Prueba en terreno la funcionalidad del vehículo, respetando los estándares exigidos por la marca.<br /><br />¿Qué ofrecemos?<br /><br />Promovemos calidad de vida dentro y fuera del trabajo, nos preocupamos de generar un ambiente laboral grato, con posibilidad de desarrollo profesional, acceso a capacitaciones y beneficios.<br />Valoramos la diversidad, la equidad y la inclusión en nuestras personas y equipos, donde cada uno aporta lo mejor de sí en el desarrollo de sus labores. Resguardamos la información de nuestros postulantes, enfocándonos en un proceso de selección claro y transparente, de esta manera, entregamos oportunidades con el objetivo de alcanzar una cultura inclusiva en cada uno de nuestros destinos.<br /><br />Nos preocupamos por tu bienestar y por eso contamos con los siguientes beneficios, sin ningún costo para el colaborador con contrato indefinido:<br /><br />• Seguro complementario de salud Bupa.<br />• Seguro de Vida Betterfly: Cuenta con telemedicina: Tu salud y la de tu familia es prioridad para nosotros.<br />• Servicio de salud online para 3 videoconsultas gratuitas de medicina general, nutrición y psicología.<br />• Día Libre de cumpleaños.<br />• Caja de compensación los andes/La Araucana.<br />• Celebramos diferentes festividades con entretenidas actividades.<br />• Pausa Activa (Yoga).<br />• Programa de Horario flexible y más.<br /><br />Promovemos el trabajo en equipo y la colaboración. Sin importar de donde vengas y cual sea tu posición, tu dedicación y compromiso serán apreciados y reconocidos.<br /><br />No lo pienses más y postula aquí. ¡Únete a nuestro gran equipo! Jornada Completa Requisitos:<br />•	Técnico Nivel Superior en mecánico automotriz o carrera afín a cargo.<br />•	Experiencia superior a 2 años en cargos similares.<br />•	Experiencia en el rubro automotriz. <br />•	Contar con cursos Especialización Marcas. (Deseable)<br />•      Residir en las comunas: Colina, Quilicura o Huechuraba. (Deseable)<br />•       Licencia de conducir clase B vigente. Colina, Chile",Not WFH
14866,"Supervisor/a de Ventas REEMPLAZO pre y post natal  - Punta Arenas Responsable de la gestión del equipo de ventas asignado en la zona.<br />Tendrá la misión de traer nuevas personas a su equipo, entrenarlas, retenerlas, motivarlas y de hacerlas crecer para que juntos alcancen las metas del negocio.<br />Tiene que tener marcada orientación a resultados, trabajo bajo presión, proactividad, tener experiencia en el trabajo con indicadores y metas mensuales y remuneración variable. <br />Fuertes habilidades para establecer relaciones interpersonales y competencias para hacer reuniones masivas, entrenamiento, dar feedback y hacer surgir al equipo a cargo. Jornada Completa - Manejo de excel intermedio<br />- Movilización propia<br />- Conocimiento de la zona a gestionar<br />- Horario flexible, el cual tiene que gestionar de manera autómona para alcanzar las metas mensuales Punta Arenas y sus alrededores",Not WFH
14867,"Mucama Importante  Hotel de la capital, busca incorporar a su equipo de trabajo a las mejores Mucamas, quienes dependerán directamente de la Ama de Llaves.<br /><br />La misión del cargo será entregar en perfectas condiciones de limpieza y orden las habitaciones asignadas, teniendo dentro de sus principales tareas y responsabilidades:<br /><br />- Limpieza de habitaciones<br />- Reportar pérdidas y mantenciones necesarias. <br />- Confección de reporte de estado habitaciones, orden y limpieza de carro y línea a cargo. <br />- Realizar informe a gobernanta. <br />- Reponer útiles de aseo. <br />- Limpieza de pasillos y pisos a cargo.<br />- Reportar discrepancias a supervisora a cargo de turno.<br /><br />la Jornada Laboral será con Turnos Rotativos de 6 x 1. Por Turnos - Licencia de enseñanza media.<br />- Deseable experiencia en el rubro turístico u hotelero en el cargo de Mucama, Camarera o similar. Santiago",Not WFH
14868,"PSICÓLOGA(O) En el contexto del proyecto USA 1856, se requiere contratar un “Psicólogo(a)”, profesional de apoyo terapéutico y educacional, dedicación equivalente a jornada completa (44 horas, entrega informes mensuales), dicha contratación será para el mejoramiento de la salud física y mental de estudiantes en situación de discapacidad. Los resultados esperados son: atención especializada y generación de material educativo y charlas a la comunidad. Teletrabajo REQUISITOS GENERALES: <br /><br />• Debe contar con computador y conexión estable a internet, ya que inicialmente la modalidad será teletrabajo, para posteriormente ser presencial en el campus.<br />• Experiencia en intervenciones terapéuticas con personas en situación de discapacidad.<br />• Contar con conocimiento de acompañamiento terapéutico en adultos del espectro autista y en trabajo de duelo vinculado a la discapacidad.<br />• Deseable manejo de lengua de señas chilena.<br />• Mínimo 1 año de experiencia.<br /><br />REQUISITOS EXCLUYENTES:<br /><br />• Título de psicólogo otorgado por una universidad reconocida por el Estado.<br />• Estar en posesión de grado de licenciado o magíster. <br />• Experiencia en diagnóstico e intervenciones con personas en situación de discapacidad.<br />• Conocimientos en acompañamiento terapéutico en adultos del espectro autista y en aspectos generales de salud mental en personas con discapacidad física.<br />• Conocimiento de perspectiva de derechos. Durante el receso Usach producto de la emergencia",WFH
